text,label
"Large database dump containing Infosys customer details (emails: meera.32@rediffmail.com), PAN, transaction history — immediate leak.",2
"Small list of scraped public emails for marketing — no financial or PII fields present.",0
"Phishing toolkit for Indian bank branding with cloned login pages and harvesting PHP scripts.",1
"Sale: Admin control panels for major Indian e-commerce servers, includes SSH keys and RDS credentials.",2
"Discussion about privacy tools and VPNs, mentions Tor and general opsec for Indian users.",0
"Exploit discussion with partial PoC for older CVE; requires manual steps to make it fully functional.",1
"Ransomware leak: corporate backup uploaded, internal docs, employee PII including Aadhaar-like tokens.",2
"Blog on securing personal email accounts and enabling 2FA—no illicit content.",0
"Credentials dump with emails and hashed passwords — some appear reused across multiple corporate domains.",1
"Ad: offering low-skill DDoS-for-hire service with Indian gateway nodes for rent.",1
"Single email scraped from public forum; likely low value for attackers.",0
"Carding hub sells fresh CVV logs with names and billing addresses tied to Indian banks.",2
"Guide: best coding practices in Python—general developer content.",0
"Vendor selling 'fullz India' including phone numbers and masked IDs; samples shown.",2
"Post: discussion of open-source ML models and research reproducibility.",0
"Forum thread offering instructions to bypass OTP flows on some Indian banking apps.",1
"Post: seller offers small lists of consumer emails scraped from local classifieds.",1
"Large-scale PAN list offered for sale with name, DOB and state — high sensitivity if real.",2
"Tutorial: deploying microservices with Docker and Kubernetes.",0
"Market ad: 'Fresh CVV lots' with verification instructions — seller offers escrow payments.",2
"Community meetup announcement for Bengaluru data scientists.",0
"Exploit PoC for CVE-2025-XXXX targeting legacy payroll systems used by several SMEs.",2
"Opinion piece on fintech regulation and compliance in India.",0
"Seller: offering merchant UPI IDs and mock receipts for refund scams.",1
"News: local startup receives seed funding for fintech product.",0
"Ad: private sale of scanned KYC forms for targeted fraud campaigns.",2
"How-to: set up continuous integration pipelines using GitHub Actions.",0
"Post: trade of leaked employee login credentials for a small regional retailer.",2
"Guide: introduction to React hooks and state management.",0
"Listing: 'Aadhaar-like dataset' per district for sale with contact samples.",2
"Blog: tips for improving unit test coverage and CI quality.",0
"Discussion: techniques for phishing email crafting aimed at Indian users (tutorial).",1
"Listing: small lists of scraped phone numbers with city tags for marketing.",1
"Research article summary: advances in NLP for low-resource languages.",0
"Seller: sells 'Paytm session tokens' and instructions to reuse them in fraud.",2
"Post: community-curated list of programming bootcamps and courses.",0
"Channel: distributes ready-to-deploy phishing landing pages for multiple Indian banks.",2
"Guide: set up logging and observability with ELK stack.",0
"Offer: sells bulk PAN entries with name and region for bypassing identity checks.",2
"Thread: requests for contributors to an open-source documentation project.",0
"Seller: offers 'CVV combo packs' with BINs specific to Indian issuers.",2
"How-to: performance tune queries in PostgreSQL for analytics.",0
"Post: shares a toolkit to automate credential stuffing workflows.",1
"Listing: sells a pack of alumni contact details for outreach (low sensitivity).",0
"Market post: advertises a zero-day exploit marketplace subscription.",2
"Community post: sharing notes from a recent security conference in Delhi.",0
"Advert: offers methods to obfuscate malware to evade static detectors.",1
"Small dataset of anonymized public forum posts used for sentiment research.",0
"Seller: offers 'company payroll entries' with salary and bank partials for fraud.",2
"How-to: integrate OAuth2 in Django applications securely.",0
"Ad: sale of compromised cPanel and hosting accounts belonging to Indian clients.",2
"Article: comparison of JavaScript frameworks and tradeoffs.",0
"Vendor: provides step-by-step phishing kit customization for regional languages.",1
"Listing: sells scraped business owner phone numbers for telemarketing spam.",1
"Discussion: strategies for reducing cloud costs at scale.",0
"Offer: selling forged salary slips and invoices for loan fraud.",2
