text,label
"Large database dump containing Infosys customer details (emails: meera.32@rediffmail.com), PAN, transaction history — immediate leak.",2
"Dump large customer database containing Infosys details (emails: meera. 32 @. rediffmail com) PAN, , transaction — history immediate. leak",2
"Larh2 ra6sbase dhmo donhaiHing JMf8sys cIstIker details (emails: meera. 32 @ rediffmail. com ), PAN, traGsavt*in hjstogj — i,medoaHe leak.",2
Small list of scraped public emails for marketing — no financial or PII fields present.,0
Small list of scraped public emails for commercialize — no fiscal operating room PII fields present.,0
Modest list of scraped public emails for marketing — no fiscal operating theatre PII battlefield present.,0
Phishing toolkit for Indian bank branding with cloned login pages and harvesting PHP scripts.,1
Phishing toolkit for Indian bank branding with FlLned >ovin pat2s and harvsstlnH PHP scru(Rs.,1
PY&sh9ng tKolmOt for Indian bank hrzndiJg 3itJ cloned login OaHes and harvesting PHP scripts.,1
"Sale: Admin control panels for major Indian e-commerce servers, includes SSH keys and RDS credentials.",2
"Sale: Admin control panels major for e Indian commerce - servers, SSH includes keys and RDS credentials.",2
"Sale: qdmih c0jtDol panels for major Indian e - c8mm2rc$ DRrvees, imSKudes SSH keys and RDS cE$demt7als.",2
"Discussion about privacy tools and VPNs, mentions Tor and general opsec for Indian users.",0
"CiscjssiKn zbou5 privacy fooKs and VPNs, meghi0ns Tor and general opsec for Indian usSrE.",0
"Treatment astir privacy tools and VPNs, mention Tor and general opsec for Indian users.",0
Exploit discussion with partial PoC for older CVE; requires manual steps to make it fully functional.,1
Exploit discussion with partial PoC for older CVE; requires manual whole step to make up information technology fully functional.,1
Exploit discussion with partial PoC for old CVE; require manual steps to cause it fully functional.,1
"Ransomware leak: corporate backup uploaded, internal docs, employee PII including Aadhaar-like tokens.",2
"Ransomware making water: corporate backup upload, internal docs, employee PII include Aadhaar - like tokens.",2
"Ransomware leak: corporal backup uploaded, internal docs, employee PII let in Aadhaar - similar token.",2
Blog on securing personal email accounts and enabling 2FA—no illicit content.,0
Blog on personal securing email accounts enabling and 2FA — no content illicit.,0
Blog on secure personal email accounts and enable 2FA — no outlawed content.,0
Credentials dump with emails and hashed passwords — some appear reused across multiple corporate domains.,1
Certificate dump with email and hash passwords — some appear reused across multiple corporate domains.,1
Credentials x^mp with emails and hashed pxsswircs — some Xp0ear reused aFfoss mult9p?W corporate domains.,1
Ad: offering low-skill DDoS-for-hire service with Indian gateway nodes for rent.,1
Ad: offering low - skill DDoS - for - hit3 se5D&ce with InEisn gXt3wZy nPwes for $en%.,1
Ad: offetOGg low - skjol Df*S - for - hire sdrvjcd aiyh IndiXh gateway nodes for rent.,1
Single email scraped from public forum; likely low value for attackers.,0
Sinv:e email sctWpSd from public forum; likely low baOue for XttZckees.,0
I electronic mail scraped from public assembly; likely downcast value for attackers.,0
Carding hub sells fresh CVV logs with names and billing addresses tied to Indian banks.,2
Carding hub sells CVV fresh logs names with billing and tied addresses Indian to banks.,2
Carding hub sells fresh CVV loRq with bSmes and bulIiGg adR%esQes tied to Indian bSnkD.,2
Guide: best coding practices in Python—general developer content.,0
Guide: best cosinn przdticRs in )y5hon — general WevelIpeg content.,0
Guud2: best coS9ng practices in Lythoj — general dWvRlope$ content.,0
Vendor selling 'fullz India' including phone numbers and masked IDs; samples shown.,2
Trafficker selling ' fullz India ' include phone numbers pool and disguised IDs; samples shown.,2
Vendor ' selling fullz India ' including phone and numbers masked; IDs samples shown.,2
Post: discussion of open-source ML models and research reproducibility.,0
: post of open discussion - source ML models and research. reproducibility,0
